                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6198,                0.87656,                0.99317,                 2.8546,              0.0033326,              0.0033326,              0.0033326
                      2,                0.78212,                0.90758,                 0.9955,                 2.8077,              0.0065999,              0.0065999,              0.0065999
                      3,                0.83264,                0.91259,                0.99619,                 2.8157,              0.0098013,              0.0098013,              0.0098013
                      4,                0.80257,                0.93177,                0.99824,                  2.787,               0.009703,               0.009703,               0.009703
                      5,                0.63178,                0.94844,                 0.9992,                 2.7624,               0.009703,               0.009703,               0.009703
                      6,                0.53688,                0.96022,                0.99949,                 2.7449,               0.009604,               0.009604,               0.009604
                      7,                0.48658,                0.96733,                0.99949,                 2.7357,               0.009505,               0.009505,               0.009505
                      8,                0.44119,                0.97035,                0.99983,                 2.7293,               0.009406,               0.009406,               0.009406
                      9,                0.42595,                0.97251,                0.99966,                 2.7262,               0.009307,               0.009307,               0.009307
                     10,                0.40823,                0.97388,                0.99977,                 2.7239,               0.009208,               0.009208,               0.009208
                     11,                  0.393,                0.97598,                0.99989,                  2.722,               0.009109,               0.009109,               0.009109
                     12,                0.37869,                0.97627,                0.99989,                 2.7204,                0.00901,                0.00901,                0.00901
                     13,                0.37121,                0.97724,                0.99989,                 2.7195,               0.008911,               0.008911,               0.008911
                     14,                0.36335,                0.97809,                0.99994,                 2.7182,               0.008812,               0.008812,               0.008812
                     15,                0.35437,                0.97855,                0.99994,                 2.7176,               0.008713,               0.008713,               0.008713
                     16,                0.34879,                0.97968,                0.99994,                 2.7168,               0.008614,               0.008614,               0.008614
                     17,                0.33844,                0.98002,                0.99994,                 2.7163,               0.008515,               0.008515,               0.008515
                     18,                 0.3325,                0.98042,                0.99994,                 2.7157,               0.008416,               0.008416,               0.008416
                     19,                0.32733,                0.98065,                0.99994,                 2.7154,               0.008317,               0.008317,               0.008317
                     20,                0.32762,                0.98059,                0.99994,                 2.7149,               0.008218,               0.008218,               0.008218
                     21,                0.31977,                 0.9802,                0.99989,                 2.7146,               0.008119,               0.008119,               0.008119
                     22,                0.31749,                0.98031,                0.99989,                 2.7143,                0.00802,                0.00802,                0.00802
                     23,                0.30821,                0.98116,                0.99989,                  2.714,               0.007921,               0.007921,               0.007921
                     24,                0.30501,                0.98128,                0.99989,                 2.7135,               0.007822,               0.007822,               0.007822
                     25,                0.30312,                0.98105,                0.99989,                 2.7131,               0.007723,               0.007723,               0.007723
                     26,                0.29816,                0.98128,                0.99989,                 2.7126,               0.007624,               0.007624,               0.007624
                     27,                0.29129,                0.98156,                0.99989,                 2.7122,               0.007525,               0.007525,               0.007525
                     28,                0.29485,                0.98207,                0.99989,                 2.7121,               0.007426,               0.007426,               0.007426
                     29,                0.28992,                0.98213,                0.99989,                 2.7116,               0.007327,               0.007327,               0.007327
                     30,                0.28324,                0.98253,                0.99994,                 2.7111,               0.007228,               0.007228,               0.007228
                     31,                0.28285,                0.98247,                0.99994,                 2.7106,               0.007129,               0.007129,               0.007129
                     32,                0.27412,                0.98264,                0.99989,                 2.7104,                0.00703,                0.00703,                0.00703
                     33,                0.27647,                0.98281,                0.99994,                 2.7098,               0.006931,               0.006931,               0.006931
                     34,                0.26637,                0.98321,                0.99989,                 2.7094,               0.006832,               0.006832,               0.006832
                     35,                0.27151,                0.98389,                0.99989,                  2.709,               0.006733,               0.006733,               0.006733
                     36,                0.25949,                0.98395,                0.99994,                 2.7086,               0.006634,               0.006634,               0.006634
                     37,                0.26513,                0.98424,                0.99994,                 2.7081,               0.006535,               0.006535,               0.006535
                     38,                0.26207,                0.98498,                0.99994,                 2.7076,               0.006436,               0.006436,               0.006436
                     39,                0.25714,                0.98498,                0.99994,                 2.7071,               0.006337,               0.006337,               0.006337
                     40,                0.25433,                0.98549,                0.99994,                 2.7067,               0.006238,               0.006238,               0.006238
                     41,                0.25289,                0.98606,                0.99994,                 2.7063,               0.006139,               0.006139,               0.006139
                     42,                0.24432,                0.98623,                0.99994,                 2.7061,                0.00604,                0.00604,                0.00604
                     43,                0.23702,                0.98646,                0.99994,                 2.7057,               0.005941,               0.005941,               0.005941
                     44,                0.23931,                0.98714,                0.99994,                 2.7054,               0.005842,               0.005842,               0.005842
                     45,                0.23669,                0.98697,                0.99994,                  2.705,               0.005743,               0.005743,               0.005743
                     46,                0.23478,                0.98731,                0.99994,                 2.7046,               0.005644,               0.005644,               0.005644
                     47,                0.22858,                0.98754,                0.99994,                 2.7042,               0.005545,               0.005545,               0.005545
                     48,                0.22813,                0.98799,                0.99994,                 2.7036,               0.005446,               0.005446,               0.005446
                     49,                0.22974,                0.98816,                0.99994,                 2.7033,               0.005347,               0.005347,               0.005347
                     50,                0.22351,                0.98822,                0.99994,                 2.7029,               0.005248,               0.005248,               0.005248
                     51,                0.21686,                0.98839,                0.99994,                 2.7025,               0.005149,               0.005149,               0.005149
                     52,                0.21782,                0.98873,                0.99994,                 2.7021,                0.00505,                0.00505,                0.00505
                     53,                0.21281,                 0.9889,                0.99994,                 2.7018,               0.004951,               0.004951,               0.004951
                     54,                0.20796,                0.98896,                0.99994,                 2.7013,               0.004852,               0.004852,               0.004852
                     55,                0.20851,                0.98919,                0.99994,                  2.701,               0.004753,               0.004753,               0.004753
                     56,                0.20922,                0.98919,                0.99994,                 2.7009,               0.004654,               0.004654,               0.004654
                     57,                0.20022,                0.98976,                0.99994,                 2.7006,               0.004555,               0.004555,               0.004555
                     58,                0.19755,                0.98976,                0.99994,                    2.7,               0.004456,               0.004456,               0.004456
                     59,                0.19866,                0.98993,                0.99994,                 2.6997,               0.004357,               0.004357,               0.004357
                     60,                0.19203,                0.99021,                0.99994,                 2.6993,               0.004258,               0.004258,               0.004258
                     61,                0.18989,                0.99044,                0.99994,                 2.6989,               0.004159,               0.004159,               0.004159
                     62,                0.18522,                0.99067,                0.99994,                 2.6987,                0.00406,                0.00406,                0.00406
                     63,                0.18424,                0.99095,                0.99994,                 2.6983,               0.003961,               0.003961,               0.003961
                     64,                0.18072,                0.99124,                0.99994,                 2.6979,               0.003862,               0.003862,               0.003862
                     65,                0.17838,                0.99089,                0.99994,                 2.6978,               0.003763,               0.003763,               0.003763
                     66,                0.17491,                0.99112,                0.99994,                 2.6974,               0.003664,               0.003664,               0.003664
                     67,                 0.1723,                0.99135,                0.99994,                 2.6972,               0.003565,               0.003565,               0.003565
                     68,                0.16711,                0.99146,                0.99994,                  2.697,               0.003466,               0.003466,               0.003466
                     69,                0.16288,                0.99186,                0.99994,                 2.6965,               0.003367,               0.003367,               0.003367
